"","groupedsites","date","motsum.mean","copsum.mean","chalsum.mean","Sum_all_lice.mean","attachedsum.mean","j.date"
"1","Bedwell Sound North","Apr 10 20",0,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,18362
"2","Cypre River","Apr 18 20",0,0.0338983050847458,0.152542372881356,0.186440677966102,0.186440677966102,18370
"3","North Meares","Apr 18 20",0,0.58,0.56,1.14,1.14,18370
"4","Ritchie Bay","Apr 18 20",0.08,0.46,1.26,1.8,1.72,18370
"5","Cypre River","Apr 24 20",0,0.333333333333333,0.104166666666667,0.4375,0.4375,18376
"6","North Meares","Apr 24 20",0.06,0.32,0.5,0.88,0.82,18376
"7","Ritchie Bay","Apr 24 20",0.9,1.05,1.45,3.4,2.5,18376
"8","Cypre River","Apr 30 20",0,0.2,0,0.2,0.2,18382
"9","North Meares","Apr 30 20",0.0196078431372549,0.784313725490196,1.17647058823529,1.98039215686275,1.96078431372549,18382
"10","Ritchie Bay","Apr 30 20",0.02,0.22,1.46,1.7,1.68,18382
"11","Cypre River","May 08 20",0.157894736842105,0.385964912280702,0.298245614035088,0.842105263157895,0.684210526315789,18390
"12","North Meares","May 08 20",0.24,0.38,1.5,2.12,1.88,18390
"13","Ritchie Bay","May 08 20",0.64,0.5,2.28,3.42,2.78,18390
"14","Cypre River","May 15 20",0.0357142857142857,2.60714285714286,0.357142857142857,3,2.96428571428571,18397
"15","North Meares","May 15 20",0.1,0.96,0.9,1.96,1.86,18397
"16","Ritchie Bay","May 15 20",0.62,2.46,1.94,5.02,4.4,18397
"17","Cypre River","May 23 20",0.0625,3.875,2.02083333333333,5.95833333333333,5.89583333333333,18405
"18","North Meares","May 23 20",0.26,3.38,3.3,6.94,6.68,18405
"19","Ritchie Bay","May 23 20",0.266666666666667,1.6,5.86666666666667,7.73333333333333,7.46666666666667,18405
"20","Cypre River","May 30 20",0.111111111111111,2.16666666666667,3.27777777777778,5.55555555555556,5.44444444444444,18412
"21","North Meares","May 30 20",0.7,1.7,8.3,10.7,10,18412
"22","Ritchie Bay","May 30 20",1.66666666666667,3.11111111111111,4.11111111111111,8.88888888888889,7.22222222222222,18412
"23","Cypre River","Jun 05 20",0,1,1.4375,2.4375,2.4375,18418
"24","Ritchie Bay","Jun 05 20",4.14285714285714,6,18.4285714285714,28.5714285714286,24.4285714285714,18418
"25","North Meares","Jun 12 20",3,3,20.6666666666667,26.6666666666667,23.6666666666667,18425
"26","Ritchie Bay","Jun 12 20",2,3,5,10,8,18425
"27","Tsapee Narrows","Jun 12 20",0.25,0,0,0.25,0,18425
"28","Cypre River","Jun 19 20",0,0.864864864864865,0.432432432432432,1.2972972972973,1.2972972972973,18432
"29","Cypre River","Jun 26 20",0.0769230769230769,0.692307692307692,0.461538461538462,1.23076923076923,1.15384615384615,18439
"30","Cypre River","Jul 05 20",0.153846153846154,5.76923076923077,0.307692307692308,6.23076923076923,6.07692307692308,18448
