,date,variable,value,mean
4,Apr 18 20,Mean All Lice,1.8,1.80161244
9,Apr 24 20,Mean All Lice,3.4,3.368470645
14,Apr 30 20,Mean All Lice,1.7,1.720482493
19,May 08 20,Mean All Lice,3.42,3.415651691
24,May 15 20,Mean All Lice,5.02,5.015996906
29,May 23 20,Mean All Lice,7.733333333,7.662644058
34,May 30 20,Mean All Lice,8.888888889,8.881702233
39,Jun 05 20,Mean All Lice,28.57142857,28.15904969
44,Jun 12 20,Mean All Lice,10,5.614377609
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3,Apr 18 20,Mean Chalimus,1.26,1.268665386
8,Apr 24 20,Mean Chalimus,1.45,1.435953402
13,Apr 30 20,Mean Chalimus,1.46,1.456043768
18,May 08 20,Mean Chalimus,2.28,2.286788643
23,May 15 20,Mean Chalimus,1.94,1.929642786
28,May 23 20,Mean Chalimus,5.866666667,5.93149554
33,May 30 20,Mean Chalimus,4.111111111,4.144998661
38,Jun 05 20,Mean Chalimus,18.42857143,18.61586951
43,Jun 12 20,Mean Chalimus,5,2.978234415
,,,,
,,,,
,,,,
,,,,
,,,,0.047334729
2,Apr 18 20,Mean Copepodid,0.46,0.339398858
7,Apr 24 20,Mean Copepodid,1.05,0.450523985
12,Apr 30 20,Mean Copepodid,0.22,0.487833758
17,May 08 20,Mean Copepodid,0.5,0.42342634
22,May 15 20,Mean Copepodid,2.46,1.897703675
27,May 23 20,Mean Copepodid,1.6,3.363906277
32,May 30 20,Mean Copepodid,3.111111111,2.274331719
37,Jun 05 20,Mean Copepodid,6,1.890011306
42,Jun 12 20,Mean Copepodid,3,1.525424226
,,,,0.871459359
,,,,0.71108088
,,,,5.696564029
,,,,
1,Apr 18 20,Mean Motile,0.08,0.079608247
6,Apr 24 20,Mean Motile,0.9,0.897587998
11,Apr 30 20,Mean Motile,0.02,0.019689411
16,May 08 20,Mean Motile,0.64,0.641072991
21,May 15 20,Mean Motile,0.62,0.621461787
26,May 23 20,Mean Motile,0.266666667,0.268196549
31,May 30 20,Mean Motile,1.666666667,1.727106006
36,Jun 05 20,Mean Motile,4.142857143,4.096833832
41,Jun 12 20,Mean Motile,2,1.461205555
