"","Stage","Week","mean","lci","uci"
"28","total","Apr 18 20",1.80161243983702,1.80095634095634,1.80685314685315
"29","total","Apr 24 20",3.3684706450429,3.36319554848967,3.3888671875
"30","total","Apr 30 20",1.72048249253288,1.71082099596231,1.75282608695652
"31","total","May 08 20",3.41565169084054,3.40834862385321,3.42689013035382
"32","total","May 15 20",5.01599690597123,5.01505674653216,5.03643002028398
"33","total","May 23 20",7.66264405782472,7.65917602996255,7.72395514780836
"34","total","May 30 20",8.88170223251812,8.86074629977069,8.94771241830065
"35","total","Jun 05 20",28.1590496903798,27.8549946294307,28.6176154672395
"36","total","Jun 12 20",5.61437760853722,5.51832460732984,6.06818181818182
"67","motile","Apr 18 20",0.0796082474667657,0.0793677555321391,0.0821176470588235
"68","motile","Apr 24 20",0.897587997512226,0.894955300127714,0.922972972972973
"69","motile","Apr 30 20",0.0196894113763229,0.0195596755504056,0.0209972299168975
"70","motile","May 08 20",0.641072991132455,0.638269896193772,0.654444444444444
"71","motile","May 15 20",0.621461787274129,0.61810110974106,0.653939393939394
"72","motile","May 23 20",0.268196549285944,0.267323481116585,0.274185463659148
"73","motile","May 30 20",1.72710600612407,1.70547675334909,1.78731762065095
"74","motile","Jun 05 20",4.09683383249512,4.09222423146474,4.1435349940688
"75","motile","Jun 12 20",1.46120555534362,1.43065693430657,1.60869565217391
"106","chalimus","Apr 18 20",1.26866538619761,1.25915820029028,1.33090909090909
"107","chalimus","Apr 24 20",1.43595340166551,1.43039816232772,1.48225806451613
"108","chalimus","Apr 30 20",1.45604376759673,1.45147239263804,1.46492146596859
"109","chalimus","May 08 20",2.28678864324613,2.27782006920415,2.356
"110","chalimus","May 15 20",1.92964278594131,1.92648044692737,1.93878475798146
"111","chalimus","May 23 20",5.93149554017234,5.90450691655511,6.02456140350877
"112","chalimus","May 30 20",4.14499866134074,4.12758766370934,4.24814814814815
"113","chalimus","Jun 05 20",18.6158695139457,18.4498299319728,19.4563492063492
"114","chalimus","Jun 12 20",2.97823441495806,2.92553191489362,3.19672131147541
"144","copepodid",NA,0.0473347291780595,0.0471114802510151,0.0483432916892993
"145","copepodid","Apr 18 20",0.339398858386036,0.337220819095726,0.342813136036086
"146","copepodid","Apr 24 20",0.45052398464268,0.45046934667695,0.456182588597843
"147","copepodid","Apr 30 20",0.487833758358395,0.483980064079744,0.499056603773585
"148","copepodid","May 08 20",0.423426340483459,0.421721941576982,0.428137222035982
"149","copepodid","May 15 20",1.89770367501796,1.89065121644295,1.9075
"150","copepodid","May 23 20",3.36390627712122,3.35866400228376,3.38602223734967
"151","copepodid","May 30 20",2.27433171916687,2.26639911922435,2.32214032214032
"152","copepodid","Jun 05 20",1.89001130642833,1.89949842966296,1.92448191078328
"153","copepodid","Jun 12 20",1.52542422642094,1.5191140776699,1.54569892473118
"154","copepodid",NA,0.871459359113157,0.867758486963785,0.883772184201369
"155","copepodid",NA,0.711080880247568,0.705947660586836,0.727025187202178
"156","copepodid",NA,5.69656402852447,5.67731421121252,5.77327935222672
